Names,Value,Quantity,Manufacturer,Manufacturer Part Number,RS PN,Component
C1,100nF,1,,,,Capacitor
C2-3,10uF,2,TDK,C2012X5R1V106K125AC,915-9328,Capacitor
CONN1-19,,19,,,,SolderBridge_0603_NC
D1-19,,19,STMicroelectronics,SMBJ15CA-TR,7147153P,SMBJ15CA-TR
F1,,1,Bourns,MF-SM250-2,6478099P,MF-SM250-2
J1,,1,Molex,22-23-2041,6795596P,22-23-2041
"J2, J5",,2,Molex,22-23-2051,1888757,22-23-2051
J3-4,,2,Molex,22-27-2101,4838534,22-27-2101
J6,,1,Molex,22-23-2021,6795583,22-23-2021
J7,,1,,,,PICO_TH
LED1-20,,20,Wurth Elektronik,150080GS75000,8154221P,150080GS75000
PL1,,1,,,,CONN_SIL_3
"Q1-4, Q6, Q8, Q10, Q12, Q14, Q16, Q18, Q20, Q22, Q24, Q26, Q28, Q30, Q32, Q34, Q36, Q38, Q40",,22,Diodes Inc.,2N7002E-7-F,8228641P,2N7002E-7-F
"Q5, Q7, Q9, Q11, Q13, Q15, Q17, Q19, Q21, Q23, Q25, Q27, Q29, Q31, Q33, Q35, Q37, Q39, Q41",,19,Diodes Inc.,DMP6023LE-13,9211158P,DMP6023LE-13
"R1-3, R5-7, R9, R11-13, R15-16, R18-19, R21-22, R24-25, R27-28, R30-31, R33-34, R36, R38-40, R42-43, R45-46, R48-49, R51-52, R54-55, R57-58, R60-61",10K,42,,,,Resistor
R4,100K,1,,,,Resistor
"R8, R10, R14, R17, R20, R23, R26, R29, R32, R35, R37, R41, R44, R47, R50, R53, R56, R59, R62-63",3K3,20,,,,Resistor
Enclosure,,1,Fibox,PC 150/60 HT,289-6465,
Sub-total:,,175,,,,
